NAME,ACLU_SCORE,DISTRICT
REP. DON YOUNG,15%,(R-AK-1)
REP. BRADLEY BYRNE,4%,(R-AL-1)
REP. MARTHA ROBY,3%,(R-AL-2)
REP. MIKE ROGERS,4%,(R-AL-3)
"REP. ROBERT ""BOB"" ADERHOLT",4%,(R-AL-4)
REP. MO BROOKS,11%,(R-AL-5)
REP. GARY PALMER,7%,(R-AL-6)
REP. TERRI SEWELL,79%,(D-AL-7)
REP. RICK CRAWFORD,4%,(R-AR-1)
REP. FRENCH HILL,11%,(R-AR-2)
REP. STEVE WOMACK,4%,(R-AR-3)
REP. BRUCE WESTERMAN,7%,(R-AR-4)
REP. TOM O'HALLERAN,68%,(D-AZ-1)
REP. MARTHA MCSALLY,7%,(R-AZ-2)
REP. RAUL GRIJALVA,89%,(D-AZ-3)
REP. PAUL GOSAR,29%,(R-AZ-4)
REP. ANDY BIGGS,26%,(R-AZ-5)
REP. DAVID SCHWEIKERT,18%,(R-AZ-6)
REP. RUBEN GALLEGO,89%,(D-AZ-7)
REP. DEBBIE LESKO,n/a,(R-AZ-8)
REP. KYRSTEN SINEMA,64%,(D-AZ-9)
REP. DOUG LAMALFA,4%,(R-CA-1)
REP. JARED HUFFMAN,93%,(D-CA-2)
REP. JOHN GARAMENDI,75%,(D-CA-3)
REP. TOM MCCLINTOCK,21%,(R-CA-4)
REP. MIKE THOMPSON,75%,(D-CA-5)
REP. DORIS MATSUI,89%,(D-CA-6)
REP. AMI BERA,71%,(D-CA-7)
REP. PAUL COOK,7%,(R-CA-8)
REP. JERRY MCNERNEY,88%,(D-CA-9)
REP. JEFF DENHAM,11%,(R-CA-10)
REP. MARK DESAULNIER,96%,(D-CA-11)
REP. NANCY PELOSI,77%,(D-CA-12)
REP. BARBARA LEE,96%,(D-CA-13)
REP. JACKIE SPEIER,82%,_(D-CA-14)
REP. ERIC SWALWELL,78%,(D-CA-15)
REP. JIM COSTA,60%,(D-CA-16)
REP. RO KHANNA,93%,(D-CA-17)
REP. ANNA ESHOO,86%,(D-CA-18)
REP. ZOE LOFGREN,91%,(D-CA-19)
REP. JIMMY PANETTA,79%,(D-CA-20)
REP. DAVID VALADAO,4%,(R-CA-21)
REP. DEVIN NUNES,4%,_ (R-CA-22)
REP. KEVIN MCCARTHY,4%,(R-CA-23)
REP. SALUD CARBAJAL,73%,(D-CA-24)
REP. STEVE KNIGHT,7%,(R-CA-25)
REP. JULIA BROWNLEY,79%,(D-CA-26)
REP. JUDY CHU,89%,(D-CA-27)
REP. ADAM SCHIFF,79%,_(D-CA-28)
REP. TONY CARDENAS,88%,(D-CA-29)
REP. BRAD SHERMAN,86%,(D-CA-30)
"REP. PETER ""PETE"" AGUILAR",75%,(D-CA-31)
REP. GRACE NAPOLITANO,86%,(D-CA-32)
REP. TED LIEU,87%,(D-CA-33)
REP. JIMMY GOMEZ,93%,(D-CA-34)
REP. NORMA TORRES,81%,(D-CA-35)
REP. RAUL RUIZ,71%,(D-CA-36)
REP. KAREN BASS,92%,(D-CA-37)
REP. LINDA SANCHEZ,89%,(D-CA-38)
REP. ED ROYCE,4%,(R-CA-39)
REP. LUCILLE ROYBAL-ALLARD,89%,(D-CA-40)
REP. MARK TAKANO,93%,(D-CA-41)
REP. KEN CALVERT,4%,(R-CA-42)
REP. MAXINE WATERS,89%,(D-CA-43)
REP. NANETTE BARRAGAN,93%,(D-CA-44)
REP. MIMI WALTERS,4%,(R-CA-45)
REP. LOU CORREA,75%,(D-CA-46)
REP. ALAN LOWENTHAL,89%,(D-CA-47)
REP. DANA ROHRABACHER,21%,(R-CA-48)
REP. DARRELL ISSA,9%,(R-CA-49)
REP. DUNCAN HUNTER,4%,(R-CA-50)
"REP. JUAN ""PACO"" VARGAS",89%,(D-CA-51)
REP. SCOTT PETERS,71%,(D-CA-52)
REP. SUSAN DAVIS,86%,(D-CA-53)
REP. DIANA DEGETTE,92%,(D-CO-1)
REP. JARED POLIS,93%,(D-CO-2)
REP. SCOTT TIPTON,7%,(R-CO-3)
"REP. KENNETH ""KEN"" BUCK",9%,(R-CO-4)
REP. DOUG LAMBORN,11%,(R-CO-5)
REP. MIKE COFFMAN,21%,(R-CO-6)
REP. ED PERLMUTTER,75%,(D-CO-7)
REP. JOHN LARSON,80%,(D-CT-1)
REP. JOE COURTNEY,78%,(D-CT-2)
REP. ROSA DELAURO,79%,(D-CT-3)
REP. JIM HIMES,79%,_(D-CT-4)
REP. ELIZABETH ESTY,79%,(D-CT-5)
