Name,District,Party,Office Room,Phone,Committee1,Committee2,Committee3,Committee4
"Abraham, Ralph",Louisiana 5th,R,417 CHOB,(202) 225-8490,Agriculture,Armed Services,"Science, Space, and Technology",
"Adams, Alma",North Carolina 12th,D,222 CHOB,(202) 225-1510,Agriculture,Education and the Workforce,Small Business,
"Aderholt, Robert",Alabama 4th,R,235 CHOB,(202) 225-4876,Appropriations,,,
"Aguilar, Pete",California 31st,D,1223 LHOB,(202) 225-3201,Appropriations,,,
"Allen, Rick",Georgia 12th,R,426 CHOB,(202) 225-2823,Agriculture,Education and the Workforce,,
"Amash, Justin",Michigan 3rd,R,114 CHOB,(202) 225-3831,Oversight and Government Reform,,,
"Amodei, Mark",Nevada 2nd,R,332 CHOB,(202) 225-6155,Appropriations,,,
"Arrington, Jodey",Texas 19th,R,1029 LHOB,(202) 225-4005,Agriculture,Budget,Joint Select Committee on Budget and APPNs Process Reform,Veterans' Affairs
"Babin, Brian",Texas 36th,R,316 CHOB,(202) 225-1555,Transportation and Infrastructure,"Science, Space, and Technology",,
"Bacon, Don",Nebraska 2nd,R,1516 LHOB,(202) 225-4155,Agriculture,Armed Services,Homeland Security,
"Banks, Jim",Indiana 3rd,R,509 CHOB,(202) 225-4436,Armed Services,Education and the Workforce,Veterans' Affairs,
"Barletta, Lou",Pennsylvania 11th,R,2049 RHOB,(202) 225-6511,Education and the Workforce,Homeland Security,Transportation and Infrastructure,
"Barr, Andy",Kentucky 6th,R,1427 LHOB,(202) 225-4706,Financial Services,,,
"Barragán, Nanette",California 44th,D,1320 LHOB,(202) 225-8220,Homeland Security,Natural Resources,,
"Barton, Joe",Texas 6th,R,2107 RHOB,(202) 225-2002,Energy and Commerce,,,
"Bass, Karen",California 37th,D,2241 RHOB,(202) 225-7084,Foreign Affairs,Judiciary,,
"Beatty, Joyce",Ohio 3rd,D,133 CHOB,(202) 225-4324,Financial Services,,,
"Bera, Ami",California 7th,D,1431 LHOB,(202) 225-5716,Foreign Affairs,"Science, Space, and Technology",,
"Bergman, Jack",Michigan 1st,R,414 CHOB,(202) 225-4735,Budget,Natural Resources,Veterans' Affairs,
"Beyer, Don",Virginia 8th,D,1119 LHOB,(202) 225-4376,Natural Resources,"Science, Space, and Technology",,
"Biggs, Andy",Arizona 5th,R,1626 LHOB,(202) 225-2635,Judiciary,"Science, Space, and Technology",,
"Bilirakis, Gus M.",Florida 12th,R,2112 RHOB,(202) 225-5755,Energy and Commerce,Veterans' Affairs,,
"Bishop, Mike",Michigan 8th,R,428 CHOB,(202) 225-4872,Ways and Means,,,
"Bishop, Rob",Utah 1st,R,123 CHOB,(202) 225-0453,Armed Services,Natural Resources,,
"Bishop Jr., Sanford D.",Georgia 2nd,D,2407 RHOB,(202) 225-3631,Appropriations,,,
"Black, Diane",Tennessee 6th,R,1131 LHOB,(202) 225-4231,Budget,Ways and Means,,
"Blackburn, Marsha",Tennessee 7th,R,2266 RHOB,(202) 225-2811,Energy and Commerce,,,
"Blum, Rod",Iowa 1st,R,1108 LHOB,(202) 225-2911,Oversight and Government Reform,Small Business,,
"Blumenauer, Earl",Oregon 3rd,D,1111 LHOB,(202) 225-4811,Ways and Means,,,
"Blunt Rochester, Lisa",Delaware At Large,D,1123 LHOB,(202) 225-4165,Agriculture,Education and the Workforce,,
"Bonamici, Suzanne",Oregon 1st,D,439 CHOB,(202) 225-0855,Education and the Workforce,"Science, Space, and Technology",,
"Bordallo, Madeleine",Guam Delegate,D,2441 RHOB,(202) 225-1188,Armed Services,Natural Resources,,
"Bost, Mike",Illinois 12th,R,1440 LHOB,(202) 225-5661,Agriculture,Transportation and Infrastructure,Veterans' Affairs,
"Boyle, Brendan",Pennsylvania 13th,D,1133 LHOB,(202) 225-6111,Budget,Foreign Affairs,,
"Brady, Kevin",Texas 8th,R,1011 LHOB,(202) 225-4901,Joint Committee on Taxation,Ways and Means,,
"Brady, Robert",Pennsylvania 1st,D,2004 RHOB,(202) 225-4731,Armed Services,House Administration,Joint Committee of Congress on the Library,
"Brat, Dave",Virginia 7th,R,1628 LHOB,(202) 225-2815,Budget,Education and the Workforce,Small Business,
"Bridenstine, Jim- Vacancy",Oklahoma 1st,R,216 CHOB,(202) 225-2211,,,,
"Brooks, Mo",Alabama 5th,R,2400 RHOB,(202) 225-4801,Armed Services,Foreign Affairs,"Science, Space, and Technology",
"Brooks, Susan W.",Indiana 5th,R,1030 LHOB,(202) 225-2276,Energy and Commerce,Ethics,,
"Brown, Anthony",Maryland 4th,D,1505 LHOB,(202) 225-8699,Armed Services,Natural Resources,Ethics,
"Brownley, Julia",California 26th,D,1019 LHOB,(202) 225-5811,Transportation and Infrastructure,Veterans' Affairs,,
"Buchanan, Vern",Florida 16th,R,2104 RHOB,(202) 225-5015,Joint Select Committee on Solvency of MPP,Ways and Means,,
"Buck, Ken",Colorado 4th,R,1130 LHOB,(202) 225-4676,Judiciary,Rules,,
"Bucshon, Larry",Indiana 8th,R,1005 LHOB,(202) 225-4636,Energy and Commerce,,,
"Budd, Ted",North Carolina 13th,R,118 CHOB,(202) 225-4531,Financial Services,,,
"Burgess, Michael",Texas 26th,R,2336 RHOB,(202) 225-7772,Energy and Commerce,Rules,,
